year,semestre,mean,median,std
2019,1,504.8435335150188,500.786,99.79293423820027
2019,2,506.1858164458301,502.17650000000003,100.82263440572551
2020,1,506.39214472342024,500.534,99.24005537853554
2020,2,519.3853124177574,526.154,92.31397099210027
2021,1,504.1297920185431,511.93550000000005,98.38275404774775
2021,2,504.28787283970195,513.937,98.1332006380701
2022,1,504.1955413779143,512.44,98.42096052360587
2022,2,503.9765181899843,517.5435,98.56268518487252
2023,1,500.0923895969884,495.155,99.39433454786487
2023,2,500.19993574468083,495.7625,99.55700724855582
2024,1,501.21894629603554,493.49,98.93561269162086
